Date,Bear River Canal Company,Bird Refuge,Cache Valley New
Jul-85,0,0,0
Aug-85,0,0,0
Sep-85,0,0,0
Oct-85,0,0,0
Nov-85,0,0,0
Dec-85,0,0,0
Jan-86,0,0,0
Feb-86,0,0,0
Mar-86,0,0,0
Apr-86,0,0,0
May-86,0,0,0
Jun-86,0,0,0
Jul-86,0,0,0
Aug-86,0,0,0
Sep-86,0,0,0
Oct-86,0,0,0
Nov-86,0,0,0
Dec-86,0,0,0
Jan-87,0,0,0
Feb-87,0,0,0
Mar-87,0,0,0
Apr-87,0,0,0
May-87,0,0,0
Jun-87,0,0,0
Jul-87,0,300255961.5,0
Aug-87,0,0,0
Sep-87,0,586784229.2,0
Oct-87,0,0,0
Nov-87,0,0,0
Dec-87,0,0,0
Jan-88,0,0,0
Feb-88,0,0,0
Mar-88,0,0,0
Apr-88,0,0,0
May-88,0,0,0
Jun-88,0,1098741553,0
Jul-88,0,937573889.6,0
Aug-88,0,1181141159,0
Sep-88,0,1453907266,0
Oct-88,0,0,0
Nov-88,0,0,0
Dec-88,0,0,0
Jan-89,0,0,0
Feb-89,0,0,0
Mar-89,0,0,0
Apr-89,0,0,0
May-89,0,0,0
Jun-89,0,603646488.1,0
Jul-89,0,905543486.9,0
Aug-89,0,976104203.9,0
Sep-89,0,1670350858,0
Oct-89,0,205409277.5,0
Nov-89,0,0,0
Dec-89,0,0,0
Jan-90,0,0,0
Feb-90,0,0,0
Mar-90,0,0,0
Apr-90,0,0,0
May-90,0,620992452.1,0
Jun-90,0,1201612612,0
Jul-90,0,1293510415,0
Aug-90,0,1118386996,0
Sep-90,0,1669467991,7486.709345
Oct-90,0,314027410.2,0
Nov-90,0,0,0
Dec-90,0,0,0
Jan-91,0,0,0
Feb-91,0,0,0
Mar-91,0,0,0
Apr-91,0,0,0
May-91,0,0,0
Jun-91,0,0,0
Jul-91,0,1102881845,0
Aug-91,0,1439903764,207579.611
Sep-91,0,1241065769,0
Oct-91,0,843641467,0
Nov-91,0,0,0
Dec-91,0,0,0
Jan-92,0,0,0
Feb-92,0,0,0
Mar-92,0,0,0
Apr-92,0,0,0
May-92,0,1485813325,0
Jun-92,0,1130413477,0
Jul-92,107379329.5,2039845638,254089.0271
Aug-92,0,1495911448,100434.9122
Sep-92,604384034.9,2274272624,254089.0271
Oct-92,0,1295703492,64590.52543
