Date,Bear River Canal Company,Bird Refuge,Cache Valley New
Nov-87,0,0,0
Dec-87,0,0,0
Jan-88,0,0,0
Feb-88,0,0,0
Mar-88,0,0,0
Apr-88,0,0,0
May-88,0,0,0
Jun-88,0,992267832.8,228697.7817
Jul-88,0,801259276,228697.7817
Aug-88,0,1135267407,228697.7817
Sep-88,0,1428657279,228697.7817
Oct-88,0,0,0
Nov-88,0,0,0
Dec-88,0,0,0
Jan-89,0,0,0
Feb-89,0,0,0
Mar-89,0,0,0
Apr-89,0,0,0
May-89,0,0,0
Jun-89,0,474236986.7,228697.7817
Jul-89,0,789464177.4,228697.7817
Aug-89,0,884603902.4,228697.7817
Sep-89,0,1626242839,228697.7817
Oct-89,0,203492503.4,228697.7817
Nov-89,0,0,0
Dec-89,0,0,0
Jan-90,0,0,0
Feb-90,0,0,0
Mar-90,0,0,0
Apr-90,0,0,0
May-90,0,539450886.6,228697.7817
Jun-90,0,1125545385,228697.7817
Jul-90,0,1191027253,228697.7817
Aug-90,0,1079117087,228697.7817
Sep-90,0,1658661703,228697.7817
Oct-90,0,314027410.2,0
Nov-90,0,0,0
Dec-90,0,0,0
Jan-91,0,0,0
Feb-91,0,0,0
Mar-91,0,0,0
Apr-91,0,0,0
May-91,0,0,0
Jun-91,0,0,0
Jul-91,0,988709527,228697.7817
Aug-91,0,1393823845,228697.7817
Sep-91,0,1190918943,228697.7817
Oct-91,0,843641467,0
Nov-91,0,0,0
Dec-91,0,0,0
Jan-92,0,0,0
Feb-92,0,0,0
Mar-92,0,0,0
Apr-92,0,0,0
May-92,0,1418115109,228697.7817
Jun-92,0,1047076196,228697.7817
Jul-92,107379329.5,2039635162,228697.7817
Aug-92,0,1469414783,228697.7817
Sep-92,604384034.9,2274168093,228697.7817
Oct-92,0,1295704516,37857.32273
Nov-92,0,0,0
Dec-92,0,0,0
Jan-93,0,0,0
Feb-93,0,0,0
Mar-93,0,0,0
Apr-93,0,0,0
May-93,0,0,0
Jun-93,0,0,0
Jul-93,0,423392342.1,228697.7817
Aug-93,0,1085509041,228697.7817
Sep-93,0,1146775609,228697.7817
Oct-93,0,0,0
Nov-93,0,0,0
Dec-93,0,0,0
Jan-94,0,0,0
Feb-94,0,0,0
Mar-94,0,0,0
Apr-94,0,0,0
May-94,0,152331510,228697.7817
Jun-94,0,1163226134,228697.7817
Jul-94,0,1270449938,228697.7817
Aug-94,0,961377987.9,228697.7817
Sep-94,0,1936764704,228697.7817
Oct-94,0,465403022.8,0
Nov-94,0,0,0
Dec-94,0,0,0
Jan-95,0,0,0
Feb-95,0,0,0
Mar-95,0,0,0
Apr-95,0,0,0
May-95,0,0,0
Jun-95,0,0,0
Jul-95,0,651666347.8,228697.7817
Aug-95,0,1199151639,228697.7817
Sep-95,0,1388327930,228697.7817
Oct-95,0,0,0
Nov-95,0,0,0
Dec-95,0,0,0
Jan-96,0,0,0
Feb-96,0,0,0
Mar-96,0,0,0
Apr-96,0,0,0
May-96,0,0,0
Jun-96,0,0,0
Jul-96,0,872277070.8,228697.7817
Aug-96,0,1357078829,228697.7817
Sep-96,0,996193870.3,228697.7817
Oct-96,0,210378863.4,0
Nov-96,0,0,0
Dec-96,0,0,0
Jan-97,0,0,0
Feb-97,0,0,0
Mar-97,0,0,0
Apr-97,0,0,0
May-97,0,0,0
Jun-97,0,0,0
Jul-97,0,0,0
Aug-97,0,0,0
Sep-97,0,0,0
Oct-97,0,0,0
Nov-97,0,0,0
Dec-97,0,0,0
Jan-98,0,0,0
Feb-98,0,0,0
Mar-98,0,0,0
Apr-98,0,0,0
May-98,0,0,0
Jun-98,0,0,0
Jul-98,0,0,0
Aug-98,0,0,0
Sep-98,0,0,0
Oct-98,0,0,0
Nov-98,0,0,0
Dec-98,0,0,0
Jan-99,0,0,0
Feb-99,0,0,0
Mar-99,0,0,0
Apr-99,0,0,0
May-99,0,0,0
Jun-99,0,0,0
Jul-99,0,0,0
Aug-99,0,0,0
Sep-99,0,0,0
Oct-99,0,0,0
Nov-99,0,0,0
Dec-99,0,0,0
Jan-00,0,0,0
Feb-00,0,0,0
Mar-00,0,0,0
Apr-00,0,0,0
May-00,0,0,0
Jun-00,0,444961128,228697.7817
Jul-00,0,1023600418,228697.7817
Aug-00,0,694999456.8,228697.7817
Sep-00,0,979913808.9,228697.7817
Oct-00,0,154793577.9,0
Nov-00,0,0,0
Dec-00,0,0,0
Jan-16,0,0,0
Feb-16,0,0,0
Mar-16,0,0,0
Apr-16,0,0,0
May-16,0,405678929.1,228697.7817
Jun-16,0,836000432.6,228697.7817
Jul-16,0,847133028.1,228697.7817
Aug-16,0,887888166.4,228697.7817
Sep-16,532973611.7,2184673664,228697.7817
Oct-16,0,1229383572,0
Nov-16,0,0,0
Dec-16,0,0,0
Jan-16,0,0,0
Feb-16,0,0,0
Mar-16,0,0,0
Apr-16,0,0,0
May-16,0,100277691.3,228697.7817
Jun-16,0,1010101740,228697.7817
Jul-16,0,918327396.2,228697.7817
Aug-16,0,1115703081,228697.7817
Sep-16,0,1682958194,228697.7817
Oct-16,0,812246728.3,0
Nov-16,0,0,0
Dec-16,0,0,0
Jan-16,0,0,0
Feb-16,0,0,0
Mar-16,0,0,0
Apr-16,0,0,0
May-16,0,684841369.5,228697.7817
Jun-16,0,1213267017,228697.7817
Jul-16,0,1344148858,228697.7817
Aug-16,0,1244248468,228697.7817
Sep-16,40514751.4,2083779661,228697.7817
Oct-16,0,1335786662,8828.66668
Nov-16,0,0,0
Dec-16,0,0,0
Jan-16,0,0,0
Feb-16,0,0,0
Mar-16,0,0,0
Apr-16,0,0,0
May-16,0,649632646.8,228697.7817
Jun-16,0,957482886.1,228697.7817
Jul-16,2035678.648,2073071089,228697.7817
Aug-16,336480757.8,1747807364,228697.7817
Sep-16,305304122.5,2076561343,228697.7817
Oct-16,0,539410733.8,0
Nov-16,0,0,0
Dec-16,0,0,0
Jan-16,0,0,0
Feb-16,0,0,0
Mar-16,0,0,0
Apr-16,0,0,0
May-16,0,0,0
Jun-16,0,0,0
Jul-16,0,749982380,228697.7817
Aug-16,0,1207909676,228697.7817
Sep-16,0,1331330057,228697.7817
Oct-16,0,252050170.1,0
Nov-16,0,0,0
Dec-16,0,0,0
Jan-16,0,0,0
Feb-16,0,0,0
Mar-16,0,0,0
Apr-16,0,0,0
May-16,0,0,0
Jun-16,0,0,0
Jul-16,0,1198337389,228697.7817
Aug-16,0,1213807226,228697.7817
Sep-16,0,675006976.4,228697.7817
